Matrix_1,,,,,,,,,,,,,,,
<,>,,,,,,,,,,,,,,
B710-A,B515-A,G780-A,G660-A,G610-A,G575-A,R780-A,R710-A,R660-A,V780-A,V710-A,V610-A,V510-A,V450-A,U730-A,U395-A
1,1.00E-03,0.03237,0.016,1.00E-03,1.54E-03,0.235,1.042,0.0309,0.1041,0.4657,0.017,0,0,0.08366,0
0.09071,1,0,6.00E-03,0.032,0.07831,0,0,0,2.00E-03,7.96E-03,0.071,0.1204,0,2.00E-03,9.00E-04
0.01892,0,1,3.07E-03,0.012,0.0252,0.222,0,0,0.1524,0,0,0,0,0.02394,0
1.033,0,0.1887,1,0.03132,0.06827,0.1637,0.8385,0.3637,0.02559,0.1375,3.00E-03,0,0,0.07894,1.62E-03
0.1552,0,0.02514,0.2568,1,0.09082,3.05E-03,0.015,9.40E-03,2.40E-03,0.02336,0.1244,0,0,9.48E-03,0
0.0338,1.50E-03,4.50E-03,0.07887,0.3921,1,0,0,0,5.00E-04,5.10E-03,0.05497,0,0,1.40E-03,0
0,0,0.03442,0,0,0,1,9.90E-03,5.06E-03,0.075,0,0,0,0,8.64E-03,0
9.00E-03,0,5.56E-03,0,6.71E-04,0,0.2945,1,2.12E-03,0.0135,0.04717,0,0,0,0.043,0
6.00E-03,0,6.90E-03,0.05778,1.30E-03,0,0.2494,1.109,1,7.74E-03,0.03665,7.30E-04,0,0,0.03968,0
0,0,0.015,0,1.00E-03,0,0.08586,0,0,1,9.00E-03,0,0,0.02333,0.04082,3.62E-03
0.09452,0,1.50E-03,0,0,0,0.1578,0.496,0,0.318,1,1.00E-03,5.00E-03,0.025,0.1973,0
0.011,0,6.99E-03,0.05385,0.1678,0.018,0,4.52E-03,4.28E-03,0.038,0.1992,1,1.20E-03,0.01625,0.03725,0
8.22E-04,0,0,7.25E-04,1.44E-03,1.00E-03,1.16E-03,2.00E-03,9.00E-04,6.91E-03,0.05042,0.6324,1,0.1777,0.01827,0
0,0,0,0,0,0,0,0,0,0,1.94E-03,0.02532,0.2433,1,0,0
0.07192,0,2.50E-03,0,0,0,0.1633,0.1748,0,0.0265,0.02527,0,0,0,1,0.02228
0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-03,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
